,Id,Sentence,First Topic,Second Topic,Third Topic,Fourth Topic
0,IL3_DF_031211_20150522_G0040007W_segment_64,"May Allah relieve their difficulties. I bless these united and diligent people. I pray they find the best way to handle these difficulties by following Allah's words. I wish that the people from unaffected regions should assist them as much as they can, and intelligent people should pray for atonement constantly by pondering on the power of benevolent and mighty Allah. For sure, our impregnable bulwark is our prayers, and our peace is the fruit of our atonements. May Allah pardon us and relieve the affected people's difficulties.",Others,,,
1,IL3_DF_020007_20150405_G00400E51_segment_129,"For those 10% even 1% of infected people, there should not be a idea to discriminate against Aids infected people . Actually, Aids is not terrifying but its threat is terrifying. The discrimination against Aids infected people causes Aids infected people to take revenge against society.",Others,,,
2,IL3_DF_031212_20140219_G0040007R_segment_18,Which camera has the good function of shooting? (Ozhal) the Literature and Art Association. The college student and migrant worker. Rise my people: the horticulture Ph.D Mahire Mahim. The heart's description,Others,,,
3,IL3_DF_020007_20150405_G00400E51_segment_36,So we suggest that friends who are infected by Aids not trust dishonest sellers and rumors and consult with professionals as well as to take care of themselves by eating and resting well.,Others,,,
4,IL3_WL_031229_20140225_G0040006K_segment_55,"We should ponder over it. If everything exceeds its limit, then that well known story of the green frog could be repeated once more. Therefore, we should think about it in a serious way.",Others,,,
5,IL3_WL_031226_20140216_G0040005V_segment_3,"So, please don't blame those entrepreneurs with various insulting terms such as ""powder seller"", ""garment seller"" or ""restaurant runner."" They are just doing their best. Even if they were their own siblings they wouldn't have done more than that. What else should they have done?",Others,,,
6,IL3_WL_031228_20140215_G0040006G_segment_15,"Because of our failure to be aware of the occurrence of such a disaster to our brothers, and because we're unable to see their status with our own eyes, and because of our failure to be with them when those brothers were in need of a comforting embrace filled with warmth and powerful mercy, and (when those brothers) were longing for to have powerful hands to wipe their anxious tears away, as being anxious for these, we all were sad and silent. ### However, soon we realized the existence of such a power!",Others,,,
7,IL3_WL_031226_20140216_G0040005V_segment_18,"However, if you're suffering from financial hardship or if there is someone around you who's suffering from life difficulties, start your good deed by searching for people who need help. Help doesn't necessarily need to be done toward people in the stricken area. Your help to the people around you would be the most meritorious deed and more accurate help.",Others,,,
8,IL3_NW_031214_20140215_G00400061_segment_23,"We felt pleased with them. We appreciated their selfless love. We were proud of our Uyghurs. Although we couldn't do anything to help them, from the bottom of our hearts, we wished encouragement to the people who were helping those people.",Others,,,
9,IL3_DF_020007_20150405_G00400E51_segment_35,"If it was true, the WHO and well known international scientists would advertise that success and even recommend it for the Nobel Prize.",Others,,,
10,IL3_WL_031228_20140215_G0040006G_segment_59,"We should ponder over it. If everything exceeds its limit, then that well-known story of the green frog could be repeated once more. Therefore, we should think about in a serious way.",Others,,,
11,IL3_DF_020008_20140215_G00400JYX_segment_6,"Since that time, the name of Pol Pot has become a menace to the citizens. On December 28, 1978, Vietnam announced the invasion of Cambodia. After that, 10 divisions with 200,000 soldiers attacked from seven directions. Cambodians and international society condemned this Vietnamese invasion. In March 1981, the Cambodian Democratic Kingdom was independently established under the leadership of King Sihanouk. In September 1989, Vietnam recalled its army. When international society suggested together establishing a peaceful government, Pol Pot rejected it and expressed his insistent belief in communism. This made the Khmer Rouge isolated. Without international support, the Khmer Rouge was more isolated than before, which caused its life to become worse and worse. As a result, its armies turned into chaos. In addition, the people's living standard difference between Sihanouk's land and Khmer Rouge land rendered hesitation toward Khmer Rouge's rules.",Others,,,
12,IL3_DF_020007_20150405_G00400E51_segment_23,"But some dishonest sellers used some rumors like ""a Muslim physician in Yemen cured Aids"", ""a medicine was invented in Saudi Arabia"", ""the Western scientists deliberately covered this things"" to take advantage of our Aids infected Uyghur brothers.",Others,,,
13,IL3_WL_031228_20140215_G0040006G_segment_22,"Through WeChat, which is always much faster than our modern media, we all witnessed people's spiritual and material help to the brothers in the stricken area. Those who have strength contributed their strength, those who have money donated their money, and those who have wealth shared their wealth.",Others,,,
14,IL3_WL_031229_20140225_G0040006K_segment_21,"Through WeChat, which is always much faster than our modern media, we all witnessed people's spiritual and material help to the brothers in the stricken area. Those who have strength contributed their strength, those who have money donated their money, and those who have wealth shared their wealth.",Others,,,
15,IL3_WL_031229_20140225_G0040006K_segment_14,"Because of our failure to aware of the occurrence of such a disaster to our brothers, and because we're unable to see their status with our own eyes, and because of our failure to be with them when those brothers were in need of a comforting embrace filled with warmth and powerful mercy, and when those brothers were longing to have powerful hands to wipe their anxious tears away, being anxious for these reasons, we all were sad and silent.",Others,,,
16,IL3_DF_020007_20140922_G00400EMN_segment_1,"Our online friends, you might have heard some rumors that there were many great physicians in Hotan, and some traditional physicians were able to heal some diseases that the doctors of the Medical University, doctors in inland China, even in some developed countries failed to cure.",Others,,,
17,IL3_NW_031260_20150805_G004030B7_segment_6,"Although the Health Department of Saudi Arabia asked people not to consume half-cooked camel meat and to wear masks when in contact with camels, Saudi Arabians did not really pay attention to the notice.",Others,,,
18,IL3_DF_020008_20160429_G00400GLC_segment_26,"Even in recent history, in the revolution of the 1930's, governors like Yang Zengxin took the hearts of living Uyghur rebels and ate them fresh.",Others,,,
19,IL3_DF_020008_20160429_G00400GLC_segment_45,"Even in the recent history, in the revolution in the 1930's , governors like Yang Zengxin took the hearts of living Uyghur rebels and ate them fresh.",Others,,,
20,IL3_DF_020008_20160429_G00400GLC_segment_34,"Even in recent history, in the revolution in the 1930's, governors like Yang Zengxin took the hearts of living Uyghur rebels and ate them fresh.",Others,,,
21,IL3_DF_020007_20150405_G00400E51_segment_62,If I had a chance I would cut off all of the fingers of those that took the dirty money and hang them from their neck like a necklace.,Others,,,
22,IL3_NW_031234_20150805_G004030CV_segment_11,"Although the Health Department of Saudi Arabia asked people not to consume half-cooked camel meat and to wear masks when in contact with camels, Saudis did not really pay attention to the notice.",Others,,,
23,IL3_DF_020007_20140826_G00400ER1_segment_8,"During his short life, he touched so many people with his friendliness, kindness, and thoughtful generosity of spirit.",Others,,,
