,Id,Sentence
1792,IL3_NW_031237_20140505_G0040006T_segment_10,"Dihkan, an officer for Badakhshan province from the Rescue Department of Afghanistan, spoke about the circumstances of the disaster: ""It was impossible to rescue people under the mud, because the mud on the ground was so heavy."""
1419,IL3_NW_031214_20140215_G00400061_segment_46,"So, this man felt ashamed and let his wife ride the donkey. The people who saw this also said that this woman let her husband walk without respects to him."
1793,IL3_NW_031237_20140505_G0040006T_segment_11,"A 45 years old man named Nur lost a relative in the disaster. He also stated: ""We truly could not rescue anyone under the mud; we had no hopes left"""
617,IL3_DF_020008_20150522_G00400HQK_segment_24,"Because no water is coming for the underground water source, the spring around the stream dried, the water level decreased in the town, and there was no water in the wells even after digging more than hundred meters."
263,IL3_DF_020007_20151018_G00400E7Q_segment_46,What is supposed to happen other getting infected by Aids even though our senior people over 50-60 try to get more wives and our young people are obsessed about having sex with girls.
257,IL3_DF_020007_20151018_G00400E7Q_segment_40,What is supposed to happen to other getting infected with Aids. Even though our senior people over 50 and 60 try to get more wives and our young people are obsessed with having sex with girls.
1760,IL3_NW_031234_20151109_G004030CK_segment_2,"Recently, due to an extremely heavy rain and the safety plan being negatively affected, the contagion spread to 15 states of the country, and additionally, one out of five infected people was a teenager."
259,IL3_DF_020007_20151018_G00400E7Q_segment_42,"If only we get Aids but not others, of course there is a reason here to blame ourselves. The topic is about girls when we get together, from the morning to evening in any occasion like wedding and parties. Were we created only for that?"
76,IL3_DF_020007_20141012_G00400E53_segment_24,This is the deadliest virus after HIV and its spread is worse than HIV. Now entire world is trying to stop the spread of the virus by allotting huge manpower and investment.
1321,IL3_NW_031209_20160218_G004030EN_segment_16,"A mom who recently gave birth to a baby with microcephaly gave an interview and said, ""Doctors told me there was a possibility of him being born with a disability, blindness, or hearing loss."
