,Id,Sentence
1287,IL3_NW_031209_20140225_G0040005P_segment_3,"After this earthquake, 2000 farmers' houses in Atchan village were damaged. In the past two days, the government delivered the building materials at the gates of those famers. After the weather turns quite warm, the construction will begin."
1252,IL3_NW_031208_20140515_G0040004Y_segment_21,"""They came to check and improve the sketch every two days. Since all level leadership were strictly managing reconstruction, I wouldn't have problems with the quality of the new house,"" said Abdulla, owner of the new house."
2084,IL3_WL_031211_20140213_G00400065_segment_8,"The first part of rescue materials aid has departed for Keriya. The government sent 80 tents, 10 metric tons of flour, 100 containers of edible oil, and 100 coats for the rescue."
1559,IL3_NW_031221_20160317_G0040005F_segment_5,More than 100 officers and soldiers of the Ili region of Xinjiang military region worked closely with the armed forces in this narrow and long area using net-style searches.
979,IL3_DF_031211_20140214_G0040007O_segment_15,The fund of earthquake-resistant houses for the native folks was run out by the corrupt officials in order not to jolt their official position. How they could move the new houses?
1599,IL3_NW_031227_20140217_G0040006C_segment_19,"Actually, a strong system of earthquake preparation and damage reduction was outlined. Although Xinjiang is not a fully developed province, its damage reduction system is well developed."
1499,IL3_NW_031214_20140217_G0040007K_segment_19,"Actually, a strong system of earthquake protection and damage reduction was outlined. Although Xinjiang is not a fully developed province, its damage reduction system is well developed."
1590,IL3_NW_031227_20140217_G0040006C_segment_10,The Xinjiang Autonomous Region held several conferences to explore the overall environment of Xinjiang. Earthquake preparation and subsequent intervention were carefully discussed.
1490,IL3_NW_031214_20140217_G0040007K_segment_10,The Xinjiang Autonomous Region held several conferences to explore the overall environment of Xinjiang. Earthquake preparation and subsequent intervention were carefully discussed.
1508,IL3_NW_031214_20140217_G0040007K_segment_27,The Autonomous Region started this project in 2010. Disaster prevention and aid to residents were closely related by using new standards and requirements in the early years.
